sentence_id	sentence	locale	reason
00ca30d6330533ff4d0cf88feaf809f202849f31cccbd92ff1c20e46bd73d101	ก็เดินเอกสารให้กุช้า กุเลยยังไม่ได้จ่ายเนี่ย สาด	th	offensive-language
3b9bead44cef4b98371908b4572ccfab3e298aa6fcf1bf8193bf82eb03028b5a	กระบวนการใช่เวลาเพียง สาม ชั่วโมง แต่ได้ผลลัพธ์ที่น่าสนใจ	th	grammar-or-spelling
35115aeef6542ca7cdf0fee2114ef054e2800a0be2385dbd628a6663c505c456	????????????????????????	th	offensive-language
35115aeef6542ca7cdf0fee2114ef054e2800a0be2385dbd628a6663c505c456	????????????????????????	th	No words
159058e3d077a2326beeccee88ed85bc2ae67a4eda10e94074e63614ecb938e5	?????????????????????????????????????????????	th	No words
002bd55aafaff3e0cb9469af4ded8ac79e96c5d2a242f2220bfb98194441436e	ดีนะวันนี้ผมไม่กาแฟ	th	grammar-or-spelling
3df67decbbd06f17245dee7f39159b538d57f267f2e3f1fbf0bdfc20988593e0	ทะเลติร์เรเนียน	th	grammar-or-spelling
018d4271a9c403ae940d2dd6d2d6868586bc3f368d07085d4286f824df4f9ea9	ฝันดีบ๊วบ	th	grammar-or-spelling
3db5c3771efb405999693f6c7df16f95110af3253f1ef24527c25f50d7a1f9d3	รัชดาซอยสี่ นานา สีลม ก็เยอะเกิน จอดซ้อนจดถนนเหลือช่องให้รถวิ่งแค่เลนเดียว	th	grammar-or-spelling
00ca30d6330533ff4d0cf88feaf809f202849f31cccbd92ff1c20e46bd73d101	ก็เดินเอกสารให้กุช้า กุเลยยังไม่ได้จ่ายเนี่ย สาด	th	offensive-language
3db5c3771efb405999693f6c7df16f95110af3253f1ef24527c25f50d7a1f9d3	รัชดาซอยสี่ นานา สีลม ก็เยอะเกิน จอดซ้อนจดถนนเหลือช่องให้รถวิ่งแค่เลนเดียว	th	grammar-or-spelling
01d5739f18fa028d5977067c1d19ae983704c3b322873aaff788d30a049ebd25	ผู้ขอรับใบอนุญาตต้องมีอายุไม่ต่ำกว่า ปีบริบูรณ์	th	grammar-or-spelling
12e0e3d03af1698f58ac23b44ab0c3d5715c562fbca52bc62107ce1d127ea2f3	??????????????????	th	offensive-language
12e0e3d03af1698f58ac23b44ab0c3d5715c562fbca52bc62107ce1d127ea2f3	??????????????????	th	grammar-or-spelling
2c8cbbae2dcdb7dc4d9c99a3f3a80569ee584b224f6439b9ec97ceb1021a00b9	??????????????????	th	offensive-language
002bd55aafaff3e0cb9469af4ded8ac79e96c5d2a242f2220bfb98194441436e	ดีนะวันนี้ผมไม่กาแฟ	th	grammar-or-spelling
159058e3d077a2326beeccee88ed85bc2ae67a4eda10e94074e63614ecb938e5	?????????????????????????????????????????????	th	grammar-or-spelling
0868b73658dea0811ae380b59e866e9bf6474b6f59e282d4ed445a1135094987	?????? ???????
	th	grammar-or-spelling
17d241f50651c3350e509209ef3f21e8eabe38156ac85797290e49dfe3e49a3a	??????????????????	th	grammar-or-spelling
3b4ae4e6fcb184fea3d7376f820be72b83376f42e9cd995194b96df224f3756a	???????????????????????	th	grammar-or-spelling
